64: HR=0.7252, NDCG=0.4483
Epoch  118:      HR=0.6758, NDCG=0.4047
Epoch  119:      HR=0.6760, NDCG=0.4039
Epoch  120:      HR=0.6780, NDCG=0.4054
Epoch  121:      HR=0.6773, NDCG=0.4061
Epoch  122:      HR=0.6781, NDCG=0.4060
Epoch  123:      HR=0.6783, NDCG=0.4061
Epoch  124:      HR=0.6786, NDCG=0.4063
Epoch  125:      HR=0.6806, NDCG=0.4072
Epoch  126:      HR=0.6803, NDCG=0.4079
Epoch  127:      HR=0.6806, NDCG=0.4076
Epoch  128:      HR=0.6806, NDCG=0.4069
Epoch  129:      HR=0.6791, NDCG=0.4081
Epoch  130:      HR=0.6796, NDCG=0.4074
Epoch  131:      HR=0.6800, NDCG=0.4070
Epoch  132:      HR=0.6795, NDCG=0.4068
Epoch  133:      HR=0.6805, NDCG=0.4072
Epoch  134:      HR=0.6818, NDCG=0.4079
Epoch  135:      HR=0.6821, NDCG=0.4081
Epoch  136:      HR=0.6816, NDCG=0.4080
Epoch  137:      HR=0.6821, NDCG=0.4088
Epoch  138:      HR=0.6806, NDCG=0.4080
Epoch  139:      HR=0.6836, NDCG=0.4097
Epoch  140:      HR=0.6833, NDCG=0.4091
Epoch  141:      HR=0.6828, NDCG=0.4086
Epoch  142:      HR=0.6844, NDCG=0.4092
Epoch  143:      HR=0.6825, NDCG=0.4088
Epoch  144:      HR=0.6841, NDCG=0.4099
Epoch  145:      HR=0.6836, NDCG=0.4106
Epoch  146:      HR=0.6834, NDCG=0.4102
Epoch  147:      HR=0.6833, NDCG=0.4090
Epoch  148:      HR=0.6843, NDCG=0.4111
Epoch  149:      HR=0.6841, NDCG=0.4096
Epoch  150:      HR=0.6841, NDCG=0.4107
Epoch  151:      HR=0.6843, NDCG=0.4101
Epoch  152:      HR=0.6836, NDCG=0.4102
Epoch  153:      HR=0.6859, NDCG=0.4106
Epoch  154:      HR=0.6859, NDCG=0.4110
Epoch  155:      HR=0.6838, NDCG=0.4107
Epoch  156:      HR=0.6853, NDCG=0.4106
Epoch  157:      HR=0.6829, NDCG=0.4099
Epoch  158:      HR=0.6826, NDCG=0.4100
Epoch  159:      HR=0.6834, NDCG=0.4100
Epoch  160:      HR=0.6853, NDCG=0.4109
Epoch  161:      HR=0.6826, NDCG=0.4101
Epoch  162:      HR=0.6828, NDCG=0.4098
Epoch  163:      HR=0.6858, NDCG=0.4115
Epoch  164:      HR=0.6844, NDCG=0.4107
Epoch  165:      HR=0.6836, NDCG=0.4095
Epoch  166:      HR=0.6843, NDCG=0.4108
Epoch  167:      HR=0.6851, NDCG=0.4109
Epoch  168:      HR=0.6846, NDCG=0.4112
Epoch  169:      HR=0.6844, NDCG=0.4102
Epoch  170:      HR=0.6851, NDCG=0.4107
Epoch  171:      HR=0.6851, NDCG=0.4098
Epoch  172:      HR=0.6846, NDCG=0.4103
Epoch  173:      HR=0.6843, NDCG=0.4105
Epoch  174:      HR=0.6856, NDCG=0.4107
Epoch  175:      HR=0.6844, NDCG=0.4108
Epoch  176:      HR=0.6863, NDCG=0.4101
Epoch  177:      HR=0.6873, NDCG=0.4109
Epoch  178:      HR=0.6881, NDCG=0.4116
Epoch  179:      HR=0.6859, NDCG=0.4114
Epoch  180:      HR=0.6861, NDCG=0.4110
Epoch  181:      HR=0.6871, NDCG=0.4121
Epoch  182:      HR=0.6864, NDCG=0.4113
Epoch  183:      HR=0.6891, NDCG=0.4121
Epoch  184:      HR=0.6863, NDCG=0.4111
Epoch  185:      HR=0.6871, NDCG=0.4117
Epoch  186:      HR=0.6884, NDCG=0.4118
Epoch  187:      HR=0.6879, NDCG=0.4119
Epoch  188:      HR=0.6861, NDCG=0.4118
Epoch  189:      HR=0.6864, NDCG=0.4121
Epoch  190:      HR=0.6874, NDCG=0.4132
Epoch  191:      HR=0.6876, NDCG=0.4124
Epoch  192:      HR=0.6873, NDCG=0.4128
Epoch  193:      HR=0.6864, NDCG=0.4120
Epoch  194:      HR=0.6877, NDCG=0.4116
Epoch  195:      HR=0.6869, NDCG=0.4120
Epoch  196:      HR=0.6861, NDCG=0.4108
Epoch  197:      HR=0.6866, NDCG=0.4120
Epoch  198:      HR=0.6877, NDCG=0.4128
Epoch  199:      HR=0.6853, NDCG=0.4119
Epoch  200:      HR=0.6864, NDCG=0.4125
Epoch  201:      HR=0.6869, NDCG=0.4117
Epoch  202:      HR=0.6892, NDCG=0.4124
Epoch  203:      HR=0.6884, NDCG=0.4129
Epoch  204:      HR=0.6877, NDCG=0.4119
Epoch  205:      HR=0.6877, NDCG=0.4119
Epoch  206:      HR=0.6866, NDCG=0.4121
Epoch  207:      HR=0.6877, NDCG=0.4117
Epoch  208:      HR=0.6868, NDCG=0.4116
Epoch  209:      HR=0.6871, NDCG=0.4114
Epoch  210:      HR=0.6873, NDCG=0.4126
Epoch  211:      HR=0.6892, NDCG=0.4124
Epoch  212:      HR=0.6892, NDCG=0.4132
Epoch  213:      HR=0.6886, NDCG=0.4126
Epoch  214:      HR=0.6886, NDCG=0.4127
Epoch  215:      HR=0.6901, NDCG=0.4126
Epoch  216:      HR=0.6879, NDCG=0.4127
Epoch  217:      HR=0.6882, NDCG=0.4121
Epoch  218:      HR=0.6887, NDCG=0.4130
Epoch  219:      HR=0.6877, NDCG=0.4127
Epoch  220:      HR=0.6894, NDCG=0.4130
Epoch  221:      HR=0.6887, NDCG=0.4127
Epoch  222:      HR=0.6892, NDCG=0.4131
Epoch  223:      HR=0.6901, NDCG=0.4138
Epoch  224:      HR=0.6907, NDCG=0.4133
Epoch  225:      HR=0.6919, NDCG=0.4146
Epoch  226:      HR=0.6904, NDCG=0.4129
Epoch  227:      HR=0.6899, NDCG=0.4130
Epoch  228:      HR=0.6887, NDCG=0.4127
Epoch  229:      HR=0.6896, NDCG=0.4121
Epoch  230:      HR=0.6891, NDCG=0.4135
Epoch  231:      HR=0.6901, NDCG=0.4135
Epoch  232:      HR=0.6916, NDCG=0.4141
Epoch  233:      HR=0.6887, NDCG=0.4129
Epoch  234:      HR=0.6891, NDCG=0.4132
Epoch  235:      HR=0.6874, NDCG=0.4135
Epoch  236:      HR=0.6871, NDCG=0.4127
Epoch  237:      HR=0.6911, NDCG=0.4141
Epoch  238:      HR=0.6896, NDCG=0.4129
Epoch  239:      HR=0.6897, NDCG=0.4125
Epoch  240:      HR=0.6874, NDCG=0.4120
Epoch  241:      HR=0.6891, NDCG=0.4130
Epoch  242:      HR=0.6904, NDCG=0.4135
Epoch  243:      HR=0.6897, NDCG=0.4135
Epoch  244:      HR=0.6904, NDCG=0.4134
Epoch  245:      HR=0.6912, NDCG=0.4138
Epoch  246:      HR=0.6906, NDCG=0.4133
Epoch  247:      HR=0.6904, NDCG=0.4123
Epoch  248:      HR=0.6899, NDCG=0.4127
Epoch  249:      HR=0.6909, NDCG=0.4124
Epoch  250:      HR=0.6907, NDCG=0.4129
Epoch  251:      HR=0.6912, NDCG=0.4128
Epoch  252:      HR=0.6917, NDCG=0.4132
Epoch  253:      HR=0.6914, NDCG=0.4139
